,receipt_id,receipts_item_id,purchase_time,category,sub_category,format,unit_price,discount,quantity,yearmonth
1,9622257,32369294,7/22/2018 21:19,Rice,Rice,supermarket,128000,0,1,2018-07
2,9446359,31885876,7/15/2018 16:17,Rice,Rice,minimarket,102750,0,1,2018-07
3,9470290,31930241,7/15/2018 12:12,Rice,Rice,supermarket,64000,0,3,2018-07
4,9643416,32418582,7/24/2018 8:27,Rice,Rice,minimarket,65000,0,1,2018-07
5,9692093,32561236,7/26/2018 11:28,Rice,Rice,supermarket,124500,0,1,2018-07
6,9504155,32030785,7/17/2018 18:05,Rice,Rice,minimarket,63500,0,1,2018-07
7,9822589,32935097,7/29/2018 18:18,Rice,Rice,supermarket,66500,0,1,2018-07
8,9706953,32593606,7/25/2018 12:48,Rice,Rice,minimarket,62500,0,1,2018-07
9,9699516,32573843,7/26/2018 16:41,Rice,Rice,minimarket,62500,0,1,2018-07
16,9763209,32744997,7/20/2018 12:53,Rice,Rice,minimarket,62900,0,1,2018-07
17,9481937,31964491,7/15/2018 19:10,Rice,Rice,supermarket,64000,0,1,2018-07
18,9818583,33018018,7/31/2018 15:34,Rice,Rice,minimarket,12400,0,10,2018-07
19,9362870,31602268,7/11/2018 17:16,Rice,Rice,minimarket,63500,0,1,2018-07
20,9343021,31535600,7/10/2018 7:29,Rice,Rice,minimarket,63500,0,1,2018-07
21,9627536,32372067,7/22/2018 20:04,Rice,Rice,minimarket,62900,0,1,2018-07
22,9372162,31632318,7/12/2018 6:37,Rice,Rice,minimarket,64000,0,1,2018-07
27,9645455,32424371,7/24/2018 10:45,Rice,Rice,minimarket,62500,0,1,2018-07
28,9215930,31170911,7/4/2018 19:18,Rice,Rice,minimarket,54000,0,1,2018-07
29,9597867,32294250,7/22/2018 10:51,Rice,Rice,minimarket,133000,0,1,2018-07
30,9197319,31118551,7/3/2018 21:42,Rice,Rice,supermarket,58800,0,1,2018-07
96,9535252,32141866,7/19/2018 16:24,Rice,Rice,minimarket,63500,0,1,2018-07
97,9427655,31819737,7/13/2018 17:27,Rice,Rice,minimarket,14250,0,1,2018-07
98,9490781,31992208,7/16/2018 9:59,Rice,Rice,minimarket,63500,0,1,2018-07
99,9752113,32718690,7/28/2018 19:56,Rice,Rice,minimarket,133000,0,1,2018-07
100,9284467,31365692,7/7/2018 19:36,Rice,Rice,minimarket,63500,0,1,2018-07
101,9329067,31566188,7/8/2018 23:49,Rice,Rice,minimarket,64000,0,1,2018-07
102,9713949,32625929,7/25/2018 21:25,Rice,Rice,hypermarket,128000,0,1,2018-07
103,9444991,31857901,7/14/2018 19:58,Rice,Rice,minimarket,66500,0,1,2018-07
104,9583432,32251239,7/21/2018 17:15,Rice,Rice,supermarket,60800,0,1,2018-07
105,9195868,31098526,7/2/2018 21:46,Rice,Rice,minimarket,132000,0,1,2018-07
106,9558318,32183234,7/20/2018 14:37,Rice,Rice,minimarket,62900,0,1,2018-07
107,9247707,31264311,7/3/2018 22:41,Rice,Rice,minimarket,64000,0,1,2018-07
124,9184156,31062398,7/3/2018 11:43,Rice,Rice,minimarket,64000,0,1,2018-05
125,9626663,32369062,7/23/2018 13:14,Rice,Rice,supermarket,128000,0,2,2018-07
126,9387053,31688210,7/12/2018 19:06,Rice,Rice,minimarket,63500,0,1,2018-07
127,9396138,31766110,7/12/2018 20:12,Rice,Rice,supermarket,109800,0,1,2018-04
128,9621936,32353867,7/23/2018 10:09,Rice,Rice,minimarket,64000,0,1,2018-07
129,9257377,31566978,7/6/2018 20:28,Rice,Rice,minimarket,80000,0,1,2018-07
130,9258424,31808502,7/6/2018 20:13,Rice,Rice,hypermarket,115200,12800,1,2018-07
319,9722067,32639505,7/26/2018 20:31,Rice,Rice,supermarket,15900,0,1,2018-07
320,9160004,30991468,7/2/2018 11:06,Rice,Rice,hypermarket,63700,0,2,2018-07
324,9390488,31718341,7/12/2018 0:00,Rice,Rice,supermarket,63000,0,1,2018-07
325,9477762,31988933,7/16/2018 0:00,Rice,Rice,supermarket,66500,0,1,2018-07
330,9479568,31965528,7/16/2018 20:10,Rice,Rice,supermarket,87500,0,1,2018-07
331,9484446,32164193,7/17/2018 22:14,Rice,Rice,minimarket,64000,0,1,2018-07
